pass,stratum,record_a,record_b,name_a,address_a,name_b,address_b,evidence,same_entity,note
A,Firm,fmcsa:4800526,fmcsa:575669,"CLEARWATER SUMMIT GROUP, INC.","19208 E BROADWAY AVE, SPOKANE VALLEY, WA 99016-8577",CLEARWATER SUMMIT GROUP INC,"19208 E BROADWAY AVENUE, SPOKANE VALLEY, WA 99016","names ""CLEARWATER SUMMIT GROUP, INC."" / ""CLEARWATER SUMMIT GROUP INC"" similarity 1.00; same address 19208 E BROADWAY AVE 99016-8577",yes,
A,Firm,fmcsa:3019098,fmcsa:3168774,ALPHA SITE LOGISTICS INC,"101 E MAIN ST, HEBER, CA 92249",ALPHA SITE LOGISTICS INC,"101 E MAIN ST, HEBER, CA 92249","names ""ALPHA SITE LOGISTICS INC"" / ""ALPHA SITE LOGISTICS INC"" similarity 1.00; same address 101 E MAIN ST 92249; shared officer MATT SCARONI",yes,
A,Firm,fmcsa:1560838,fmcsa:2433334,WRIGHT EXPRESS SERVICE CO LLC,"107 HIGHLAND DRIVE, FAYETTEVILLE, GA 30214",WRIGHT EXPRESS SERVICE CO LLC,"107 HIGHLAND DRIVE, FAYETTEVILLE, GA 30214","names ""WRIGHT EXPRESS SERVICE CO LLC"" / ""WRIGHT EXPRESS SERVICE CO LLC"" similarity 1.00; same address 107 HIGHLAND DRIVE 30214; same phone 7706921975",yes,
A,Firm,fmcsa:274432,fmcsa:348633,NICKELS TRUCKING CO INC,"30131 SOUTH HWY 33, TRACY, CA 95376",NICKELS TRUCKING CO INC,"30131 SO HWY 33, TRACY, CA 95376","names ""NICKELS TRUCKING CO INC"" / ""NICKELS TRUCKING CO INC"" similarity 1.00; same ZIP 95376 (30131 SOUTH HWY 33 / 30131 SO HWY 33); same phone 2098369290",yes,
A,Firm,fmcsa:3260123,fmcsa:3813970,GRUAS PAGAN INC,"19 CALLE UNION URB PASEOS DE JACARANDA 124, SANTA ISABEL, PR 00757-2315",GRUAS PAGAN INC,"CARRETERA 353 K9 H0 BO USERAS, SANTA ISABEL, PR 00757","names ""GRUAS PAGAN INC"" / ""GRUAS PAGAN INC"" similarity 1.00; same ZIP 00757 (19 CALLE UNION URB PASEOS DE JACARANDA 124 / CARRETERA 353 K9 H0 BO USERAS); same phone 7878456707",yes,"same name and phone, second yard"
A,Firm,fmcsa:3245087,fmcsa:4509883,2 FAST LOGISTICS INCORPORATED,"710 KIMBERLY DR, CAROL STREAM, IL 60188",2 FAST LOGISTICS INC,"710 KIMBERLY DR, CAROL STREAM, IL 60188","names ""2 FAST LOGISTICS INCORPORATED"" / ""2 FAST LOGISTICS INC"" similarity 1.00; same address 710 KIMBERLY DR 60188; same phone 3318063900; shared officer FRANK PALACIOS",yes,
A,Firm,fmcsa:1729839,fmcsa:3413605,EXCALIBUR WELL SERVICES CORP,"22034 ROSEDALE HWY, BAKERSFIELD, CA 93314",EXCALIBUR WELL SERVICES CORPORATION,"22034 ROSEDALE HWY, BAKERSFIELD, CA 93314-9704","names ""EXCALIBUR WELL SERVICES CORP"" / ""EXCALIBUR WELL SERVICES CORPORATION"" similarity 1.00; same address 22034 ROSEDALE HWY 93314; same phone 6615895338",yes,
A,"Possible, corroborated",fmcsa:1361465,fmcsa:703154,ISI LOGISTICS SOUTH LLC,"2758 COMMERCE DRIVE, KOKOMO, IN 46902",ISI LOGISTICS LLC,"2758 COMMERCE DRIVE, KOKOMO, IN 46902","names ""ISI LOGISTICS SOUTH LLC"" / ""ISI LOGISTICS LLC"" similarity 0.80; same address 2758 COMMERCE DRIVE 46902; same phone 7654540500",yes,regional LLC at the same address and phone
A,"Possible, corroborated",fmcsa:504517,fmcsa:698955,LINCO-ELECTROMATIC INC,"4580 WEST WALL STREET, MIDLAND, TX 79703",LINCO-ELECTROMATIC MEASUREMENT INC,"330 HOUSTON STREET, KILGORE, TX 75662","names ""LINCO-ELECTROMATIC INC"" / ""LINCO-ELECTROMATIC MEASUREMENT INC"" similarity 0.80; same phone 9039832696",yes,same phone
A,"Possible, corroborated",fmcsa:459268,fmcsa:779040,SFK LEASING INC,"4500 N CLIFF AVE, SIOUX FALLS, SD 57104-0553",CUSTOM LEASING INC,"3527 GARDNER, KANSAS CITY, MO 64120","names ""CUSTOM TRUCK LEASING INC"" / ""CUSTOM LEASING INC"" similarity 0.80; same phone 6053325297",yes,Missouri registration uses the South Dakota phone
A,"Possible, corroborated",fmcsa:2007132,fmcsa:2350442,MARIA YEPEZ,"79 OLD AMBOY RD, BORDENTOWN, NJ 08505",FAV TRANSPORTATION III INC,"79 OLD AMBOY RD, TRENTON, NJ 08620","names ""FAV TRANSPORTATION"" / ""FAV TRANSPORTATION III INC"" similarity 0.80; same phone 6092987750; shared officer MARIA YEPEZ",yes,owner's sole proprietorship trading under the company name
A,"Possible, corroborated",fmcsa:34733,fmcsa:80843,PILGRIMS PRIDE CORPORATION,"110 S TEXAS ST, PITTSBURG, TX 75686-1532",PILGRIMS PRIDE CORP OF DELAWARE,"110 S TEXAS ST, PITTSBURG, TX 75686","names ""PILGRIMS PRIDE CORPORATION"" / ""PILGRIMS PRIDE CORP OF DELAWARE"" similarity 0.80; same address 110 S TEXAS ST 75686-1532; same phone 9038551000",yes,same address and phone
A,"Possible, corroborated",fmcsa:576787,fmcsa:901640,BRENEMAN INC,"13901 HARBOR DR, BONNER SPRINGS, KS 66012",BRENEMAN MATERIALS LLC,"4101 POWELL DRIVE, BONNER SPRINGS, KS 66012","names ""BRENEMAN CONCRETE & MATERIALS"" / ""BRENEMAN MATERIALS LLC"" similarity 0.80; same ZIP 66012 (13901 HARBOR DR / 4101 POWELL DRIVE)",unsure,"same family name and ZIP, different addresses; could be sister companies"
A,"Possible, corroborated",fmcsa:176881,fmcsa:898388,MAINES PAPER AND FOOD SERVICE INC,"101 BROOME CORPORATE PARKWAY, CONKLIN, NY 13748",MAINES PAPER & FOOD SERVICE - MID-ATLANTIC INC,"101 BROOME CORPORATE PARKWAY, CONKLIN, NY 13748","names ""MAINES PAPER AND FOOD SERVICE INC"" / ""MAINES PAPER & FOOD SERVICE - MID-ATLANTIC INC"" similarity 0.80; same address 101 BROOME CORPORATE PARKWAY 13748; shared officer CHRIS MELLON",yes,"regional company at the same address, shared officer"
A,"Possible, corroborated",fmcsa:1004964,fmcsa:213061,L & I DISTRIBUTION SERVICE,"7428 MOSSY CUP, BOISE, ID 83709",FREIGHT SYSTEMS INC,"7665 MOSSY CUP, BOISE, ID 83709","names ""QWIK FREIGHT SYSTEMS"" / ""FREIGHT SYSTEMS INC"" similarity 0.80; same ZIP 83709 (7428 MOSSY CUP / 7665 MOSSY CUP)",unsure,trade name adds a word; neighbouring addresses
A,"Possible, corroborated",fmcsa:1413256,fmcsa:2079653,AES DRILLING FLUIDS LLC,"575 N DAIRY ASHFORD RD SUITE 800, HOUSTON, TX 77079",AES DRILLING FLUIDS PERMIAN LLC,"4605 FIELDER ST, MIDLAND, TX 79707","names ""AES DRILLING FLUIDS LLC"" / ""AES DRILLING FLUIDS PERMIAN LLC"" similarity 0.86; same phone 2815565628",yes,regional LLC on the same phone
A,"Possible, corroborated",fmcsa:4469386,fmcsa:907684,WAYNE SANDERSON FARMS LLC,"4110 CONTINENTAL DR, OAKWOOD, GA 30566-2800",WAYNE FARMS LLC,"340 JESSE JEWELL PKWY STE 200, GAINESVILLE, GA 30501","names ""WAYNE SANDERSON FARMS LLC"" / ""WAYNE FARMS LLC"" similarity 0.80; same phone 7705382120",yes,merger successor on the same phone
A,"Possible, corroborated",fmcsa:3844381,fmcsa:961745,SOUTHERN TIER TOWING INC,"425 WAVERLY ST, WAVERLY, NY 14892",EDWARD C & CORA E BOSTWICK,"425 WAVERLY STREET, WAVERLY, NY 14892","names ""HUCKLES TOWING"" / ""HUCKLES TOWING & RECOVERY"" similarity 0.80; same address 425 WAVERLY ST 14892; same phone 6075652771",yes,"same trade name, address and phone"
A,"Possible, corroborated",fmcsa:2741264,fmcsa:3281448,KERN ASPHALT & SEALING INC,"2000 NORRIS ROAD, BAKERSFIELD, CA 93308",KERN ASPHALT PAVING & SEALING CO INC,"2000 NORRIS ROAD, BAKERSFIELD, CA 93308","names ""KERN ASPHALT & SEALING INC"" / ""KERN ASPHALT PAVING & SEALING CO INC"" similarity 0.86; same address 2000 NORRIS ROAD 93308; same phone 6613918000; shared officer BRYAN WATSON",yes,
A,"Possible, corroborated",fmcsa:3162887,fmcsa:3317752,BEAR DOWN LOGISTICS INC,"11225 FRONT ST, MOKENA, IL 60448",BEAR DOWN LOGISTICS EAST INC,"11225 FRONT ST, MOKENA, IL 60448","names ""BEAR DOWN LOGISTICS INC"" / ""BEAR DOWN LOGISTICS EAST INC"" similarity 0.86; same address 11225 FRONT ST 60448",yes,
A,"Possible, corroborated",fmcsa:1165528,fmcsa:696330,ACE WAY FREIGHT SYSTEMS 2003 INC,"13207 LUNDYS LANE UNIT 2, NIAGARA FALLS, ON L2E 6S4",1184410 ONTARIO LIMITED,"13207 LUNDYS LANE UNIT 2, RR 1 NIAGARA FALLS, ON L2E 6S4","names ""ACE WAY FREIGHT SYSTEMS 2003 INC"" / ""ACE WAY FREIGHT SYSTEMS"" similarity 0.89; same phone 9052276566",yes,numbered company at the same address and phone
A,"Possible, corroborated",fmcsa:4473049,fmcsa:776063,AMIGOS MEAT DISTRIBUTORS-SOUTH LLC,"2525 W COMMERCE ST, DALLAS, TX 75212",AMIGO'S MEAT DISTRIBUTORS LP,"611 CROSSTIMBERS, HOUSTON, TX 77022","names ""AMIGOS MEAT DISTRIBUTORS-SOUTH LLC"" / ""AMIGO'S MEAT DISTRIBUTORS LP"" similarity 0.86; shared officer JORGE PALMA",yes,"shared officer, same business in two cities"
A,"Possible, corroborated",fmcsa:1758893,fmcsa:592541,LARS LLC,"4300 NW 37 AVE, MIAMI, FL 33142",HARDWARE IMAGINATION INC,"4300 NW 37 AVE, MIAMI, FL 33142","names ""HARDWARE IMAGINATION-TECH"" / ""HARDWARE IMAGINATION INC"" similarity 0.80; same address 4300 NW 37 AVE 33142; same phone 3056353300",yes,same address and phone
A,"Possible, corroborated",fmcsa:3401732,fmcsa:4381446,FIVE STAR ENERGY SERVICES LLC,"W228S7055 ENTERPRISE DR, BIG BEND, WI 53103",NEW FIVE STAR ENERGY SERVICES LLC,"W228S7055 ENTERPRISE DR, BIG BEND, WI 53103","names ""FIVE STAR ENERGY SERVICES LLC"" / ""NEW FIVE STAR ENERGY SERVICES LLC"" similarity 0.89; same address W228S7055 ENTERPRISE DR 53103; same phone 2627063260; shared officer KLUMB SHAWN",yes,"successor company, same address, phone and officer"
A,"Possible, name only",fmcsa:302385,fmcsa:346706,FRONTIER TRANSPORT CORPORATION,"185 THE WEST MALL SUITE 701, ETOBICOKE, ON M9C 5L5",FRONTIER TRANSPORT INC,"1 1 4 M E HWY 70, WILSON, OK 73463","names ""FRONTIER TRANSPORT CORPORATION"" / ""FRONTIER TRANSPORT INC"" similarity 1.00; no corroborating signal",no,Ontario and Oklahoma
A,"Possible, name only",fmcsa:2951897,fmcsa:300302,BELL CONCRETE LLC,"625 7TH ST, SULPHUR SPRINGS, TX 75482",BELL CONCRETE INC,"2130 WEST WILLIAMS DRIVE, PHOENIX, AZ 85027","names ""BELL CONCRETE LLC"" / ""BELL CONCRETE INC"" similarity 1.00; no corroborating signal",no,Texas and Arizona
A,"Possible, name only",fmcsa:345951,fmcsa:3912560,MC EXPRESS LLC,"95 CR 407, JONESBORO, AR 72404",MC EXPRESS INC,"3033 W JEFFERSON ST SUITE 210, JOLIET, IL 60435","names ""MC EXPRESS LLC"" / ""MC EXPRESS INC"" similarity 1.00; no corroborating signal",no,Arkansas and Illinois
A,"Possible, name only",fmcsa:1006582,fmcsa:382882,NORMAN ASPHALT COMPANY A SUBSIDIARY OF,"45115 CHAUTAUQUA, NORMAN, OK 73072",MARTIN MARIETTA MATERIALS INC,"4123 PARKLAKE AVE, RALEIGH, NC 27612","names ""MARTIN MARIETTA MATERIALS"" / ""MARTIN MARIETTA MATERIALS INC"" similarity 1.00; no corroborating signal",no,"a subsidiary operating under its parent's name, in another state"
A,"Possible, name only",fmcsa:121000,fmcsa:292096,JOHN C ESTES JR,"P O BOX 15599, RICHMOND, VA 23227",CAVALIER TRANSPORTATION INC,"10991 ST RT 49, WILLSHIRE, OH 45898","names ""CAVALIER TRANSPORTATION CO"" / ""CAVALIER TRANSPORTATION INC"" similarity 1.00; no corroborating signal",no,Virginia and Ohio
A,"Possible, name only",fmcsa:1258956,fmcsa:1292356,BEST EXPRESS INC,"5392 SHETLAND TRAIL COVE, ARLINGTON, TN 38002",BEST EXPRESS LLC,"413 E MICHIGAN, STUTTGART, AR 72160","names ""BEST EXPRESS INC"" / ""BEST EXPRESS LLC"" similarity 1.00; no corroborating signal",no,Tennessee and Arkansas
A,"Possible, name only",fmcsa:308788,fmcsa:367884,AGGREGATE HAULERS INC,"8505 FREEPORT PKWY STE 600, IRVING, TX 75063",AGGREGATE HAULERS LLC,"9678 SW SR 121, LAKE BUTLER, FL 32054","names ""AGGREGATE HAULERS INC"" / ""AGGREGATE HAULERS LLC"" similarity 1.00; no corroborating signal",no,Texas and Florida
A,"Possible, name only",fmcsa:784398,fmcsa:988343,CONTINENTAL TRANSPORT INC,"870 N GARVER RD, MONROE, OH 45050",CONTINENTAL TRANSPORT INC,"3195 LUYUNG DRIVE, RANCHO CORDOBA, CA 95742","names ""CONTINENTAL TRANSPORT INC"" / ""CONTINENTAL TRANSPORT INC"" similarity 1.00; no corroborating signal",no,Ohio and California
A,"Possible, name only",fmcsa:2741549,fmcsa:3214323,PD TRANSPORT INC,"1643 PLACENTIA AVE, COSTA MESA, CA 92627",SOUTHSIDE TOWING INC,"572 N BATAVIA ST, ORANGE, CA 92868","names ""SOUTHSIDE TOWING"" / ""SOUTHSIDE TOWING INC"" similarity 1.00; no corroborating signal",unsure,same trade name in neighbouring Orange County cities
A,"Possible, name only",fmcsa:218183,fmcsa:2975500,SUPER TRANSPORT INC,"951 BROKEN SOUND PKWY NW STE 100, BOCA RATON, FL 33487-3531",SUPER TRANSPORT COMPANY INC,"10263 VINCENT RD, DELHI, CA 95315","names ""SUPER TRANSPORT INC"" / ""SUPER TRANSPORT COMPANY INC"" similarity 1.00; no corroborating signal",no,Florida and California
A,"Possible, name only",fmcsa:2385006,fmcsa:3171717,LONE STAR INSTRUMENTATION & ELECTRIC CORPORATION,"2222 WEST 42ND STREET, ODESSA, TX 79764",LONE STAR LLC,"283 S HIGHWAY 24, RUPERT, ID 83350","names ""LONE STAR CORPORATION"" / ""LONE STAR LLC"" similarity 1.00; no corroborating signal",no,Texas and Idaho
A,"Possible, name only",fmcsa:1023155,fmcsa:2117171,J & H EXPRESS INC,"20415 72ND AVE S, KENT, WA 98032",H & J EXPRESS LLC,"2503 W LAMBERT STREET, INDIANAPOLIS, IN 46221","names ""J & H EXPRESS INC"" / ""H & J EXPRESS LLC"" similarity 1.00; no corroborating signal",no,token sorting makes J & H equal H & J
A,"Possible, name only",fmcsa:193158,fmcsa:291414,K & L TRUCKING INC,"490 WEST MAIN STREET, DELTA, OH 43515",L & K TRUCKING INC,"9882 HARDING RD, PLAINFIELD, WI 54966-9437","names ""K & L TRUCKING INC"" / ""L & K TRUCKING INC"" similarity 1.00; no corroborating signal",no,token sorting makes K & L equal L & K
A,"Possible, name only",fmcsa:3056805,fmcsa:638544,DOHMEN TRUCKING GROUP INC,"314 15TH STREET NW, WEST FARGO, ND 58078",M-F TRANSPORT INC,"4705 VAN EPPS ROAD, BROOKLYN HEIGHTS, OH 44131","names ""F & M TRANSPORT INC"" / ""M-F TRANSPORT INC"" similarity 1.00; no corroborating signal",no,token sorting makes F & M equal M-F
A,"Possible, name only",fmcsa:470999,fmcsa:863803,WOODCRAFT INDUSTRIES INC,"595 E ROLLING RIDGE DR, BELLEFONTE, PA 16823",BRENTWOOD ACQUISITION CORPORATION,"453 INDUSTRIAL WAY, MOLALLA, OR 97038","names ""WOODCRAFT INDUSTRIES INC"" / ""WOODCRAFT INDUSTRIES INC"" similarity 1.00; no corroborating signal",unsure,one manufacturer's name at plants in two states; the second is held by another legal name
A,"Possible, name only",fmcsa:2130835,fmcsa:840366,YARDWORKS INC,"978 EVERGREEN STREET, BROCKWAY, PA 15824",YARDWORKS INC,"278 COMMISSARY DR, OLIVE BRANCH, MS 38654","names ""YARDWORKS INC"" / ""YARDWORKS INC"" similarity 1.00; no corroborating signal",no,Pennsylvania and Mississippi
A,"Possible, name only",fmcsa:1637019,fmcsa:2422075,VIP TRANS INC,"443 KALEWA STREET, HONOLULU, HI 96819",VIP TRANS INC,"2314 UNION STREET, LAKE STATION, IN 46405","names ""VIP TRANS INC"" / ""VIP TRANS INC"" similarity 1.00; no corroborating signal",no,Hawaii and Indiana
B,Firm,fmcsa:2081136,gleif:5493003VPQS4BL9UIF83,GREENPRO SERVICES INC,"2969 BEAL ROAD, FRANKLIN, OH 45005","HENDERSON TURF FARM, INC.","2969 Beal Rd, Franklin, OH 45005","names ""HENDERSON TURF FARMS"" / ""HENDERSON TURF FARM, INC."" similarity 0.99; same address 2969 BEAL ROAD 45005",unsure,"Registration held by another legal name trading as the GLEIF company, at its address"
B,Firm,fmcsa:1911220,gleif:254900VNFC1GRT571325,OM TRADING LLC,"9020 STERLING STREET, IRVING, TX 75063","OM Trading, Inc.","9020 Sterling St, Irving, TX 75063","names ""OM TRADING LLC"" / ""OM Trading, Inc."" similarity 1.00; same address 9020 STERLING STREET 75063",yes,LLC and Inc at one address
B,Firm,fmcsa:91995,gleif:549300J64DU781U76279,STEEL TECHNOLOGIES LLC,"700 N HURSTBOURNE PKWY, LOUISVILLE, KY 40222-5393",Steel Technologies LLC,"700 North Hurstbourne Parkway, Louisville, KY 40222-5396","names ""STEEL TECHNOLOGIES LLC"" / ""Steel Technologies LLC"" similarity 1.00; same address 700 N HURSTBOURNE PKWY 40222-5393",yes,
B,Firm,fmcsa:621305,gleif:549300Q7OGU2WS7VPJ61,BROTHERS OIL COMPANY INC,"486 SCHOOL STREET, EAST HARTFORD, CT 06108","Brothers Oil Company, Inc.","486 School Street, East Hartford, CT 06108","names ""BROTHERS OIL COMPANY INC"" / ""Brothers Oil Company, Inc."" similarity 1.00; same address 486 SCHOOL STREET 06108",yes,
B,Firm,fmcsa:390927,gleif:549300UP2VN3N3IW2O65,BOVA FOODS DISTRIBUTORS INC,"4365 COUNTY LINE RD, CHALFONT, PA 18914","Bova Food Distributors, Inc.","4365 County Line Road, Chalfont, PA 18914","names ""BOVA FOODS DISTRIBUTORS INC"" / ""Bova Food Distributors, Inc."" similarity 0.99; same address 4365 COUNTY LINE RD 18914",yes,
B,Firm,fmcsa:3111157,gleif:2549008QFMXM9F958942,NEVCO FUEL SERVICE LLC,"631 W ORANGE ST, LITITZ, PA 17543","Nevco Fuel Service, LLC","631 W ORANGE STREET, LITITZ, PA 17543","names ""NEVCO FUEL SERVICE LLC"" / ""Nevco Fuel Service, LLC"" similarity 1.00; same address 631 W ORANGE ST 17543",yes,
B,Firm,fmcsa:1807200,gleif:549300TJEH306RY6AP10,GRIMMWAY ENTERPRISES INC,"12064 BUENA VISTA BLVD, ARVIN, CA 93203","GRIMMWAY ENTERPRISES, INC.","12064 Buena Vista Boulevard, Arvin, CA 93203","names ""GRIMMWAY ENTERPRISES INC"" / ""GRIMMWAY ENTERPRISES, INC."" similarity 1.00; same address 12064 BUENA VISTA BLVD 93203",yes,
B,Firm,fmcsa:1259747,gleif:549300BH02Y04OUVOG51,HARTUNG BROTHERS INC,"708 HEARTLAND TR SUITE 2000, MADISON, WI 53717-2099","Hartung Brothers, Inc.","C/O Daniel J Hartung, Madison, WI 53717-2099","names ""HARTUNG BROTHERS INC"" / ""Hartung Brothers, Inc."" similarity 1.00; same ZIP 53717 (708 HEARTLAND TR SUITE 2000 / C/O Daniel J Hartung)",yes,GLEIF headquarters is a care-of line in the same ZIP
B,Firm,fmcsa:992344,gleif:5493005A38H1FLUNMB94,LIVINGSTONE COLLEGE,"701 WEST MONROE ST, SALISBURY, NC 28144","Livingstone College, Inc.","701 West Monroe Street, Salisbury, NC 28144","names ""LIVINGSTONE COLLEGE"" / ""Livingstone College, Inc."" similarity 1.00; same address 701 WEST MONROE ST 28144",yes,
B,Firm,fmcsa:1558531,gleif:549300EIWKPN9YK9W992,PRAIRIELAND FS INC,"1132 VETERANS DRIVE, JACKSONVILLE, IL 62650","Prairieland FS, Inc.","1132 Veterans Drive, Jacksonville, IL 62650-4010","names ""PRAIRIELAND FS INC"" / ""Prairieland FS, Inc."" similarity 1.00; same address 1132 VETERANS DRIVE 62650",yes,
B,Firm,fmcsa:1447456,gleif:549300GVLGEUAMA06W68,GOODS TREE CARE INC,"4401 CHAMBERS HILL ROAD, HARRISBURG, PA 17111","GOOD'S TREE CARE, INC.","4401 Chambers Hill Road, Harrisburg, PA 17111","names ""GOODS TREE CARE INC"" / ""GOOD'S TREE CARE, INC."" similarity 1.00; same address 4401 CHAMBERS HILL ROAD 17111",yes,
B,Firm,fmcsa:324726,gleif:549300YMIPBTHGM0L405,PROVISION PARTNERS COOPERATIVE,"2327 W VETERANS PARKWAY, MARSHFIELD, WI 54449-0098",PROVISION PARTNERS COOPERATIVE,"2327 W VETERANS PKWY, MARSHFIELD, WI 54449","names ""ALLIED COOPERATIVE"" / ""Allied Cooperative"" similarity 1.00; same address 2327 W VETERANS PARKWAY 54449-0098",yes,trade name is a GLEIF other name of the same cooperative
B,Firm,fmcsa:1699212,gleif:549300V1AYP0TGTH2K33,ECHO GROUP INC,"1851 MADISON AVE SUITE 710, COUNCIL BLUFFS, IA 51503","ECHO GROUP, INC.","C/O Mitchel N Lane, Council Bluffs, IA 51503","names ""ECHO GROUP INC"" / ""ECHO GROUP, INC."" similarity 1.00; same ZIP 51503 (1851 MADISON AVE SUITE 710 / C/O Mitchel N Lane)",yes,
B,Firm,fmcsa:1880870,gleif:549300ZF77TYNDEFL129,LEGACY EQUIPMENT INC,"12526 CELESTE ROAD, CHUNCHULA, AL 36521","Legacy Equipment, LLC","12526 CELESTE RD, CHUNCHULA, AL 36521","names ""LEGACY EQUIPMENT INC"" / ""Legacy Equipment, LLC"" similarity 1.00; same address 12526 CELESTE ROAD 36521",yes,Inc and LLC at one address
B,Firm,fmcsa:3938530,gleif:254900BX7F8LWCYNHS22,CARDINAL CIVIL CONTRACTING LLC,"100 E SIX FORKS RD STE 300, RALEIGH, NC 27609-7752","Cardinal Civil Contracting, LLC","100 E. Six Forks Road, Raleigh, NC 27609","names ""CARDINAL CIVIL CONTRACTING LLC"" / ""Cardinal Civil Contracting, LLC"" similarity 1.00; same address 100 E SIX FORKS RD STE 300 27609-7752",yes,
B,Firm,fmcsa:573666,gleif:549300FTPNOXR1WJLD26,WASHINGTON & LEE UNIVERSITY,"204 W WASHINGTON ST, LEXINGTON, VA 24450-2116",THE WASHINGTON AND LEE UNIVERSITY,"204 W Washington St, LEXINGTON, VA 24450","names ""WASHINGTON & LEE UNIVERSITY"" / ""THE WASHINGTON AND LEE UNIVERSITY"" similarity 1.00; same address 204 W WASHINGTON ST 24450-2116",yes,
B,Firm,fmcsa:466979,gleif:5493009GN28OYOKOK515,FARMERS COOPERATIVE ELEVATOR COMPANY,"2364 64TH AVE, ZEELAND, MI 49464",FARMERS COOPERATIVE ELEVATOR CO.,"2364 64th Avenue, Zeeland, MI 49464","names ""FARMERS COOPERATIVE ELEVATOR COMPANY"" / ""FARMERS COOPERATIVE ELEVATOR CO."" similarity 1.00; same address 2364 64TH AVE 49464",yes,
